epoch,train_loss,test_loss
0,0.31886945230265457,0.21652600169181824
1,0.07553899196871355,0.11013706773519516
2,0.07409481262313385,0.21340283751487732
3,0.06626377108634687,0.09666147828102112
4,0.05586792305842334,0.084414541721344
5,0.05745602253020978,0.14355964958667755
6,0.054560715095231346,0.1236560121178627
7,0.05056749269658444,0.07721419632434845
8,0.050887910521351824,0.058179594576358795
9,0.04897171541975409,0.07055430859327316
10,0.04694715439908061,0.054073356091976166
11,0.04337762362853277,0.13895684480667114
12,0.047053702303445806,0.04484265670180321
13,0.047753677694309576,0.03115156851708889
14,0.044764385951281176,0.033520374447107315
15,0.044917929981488226,0.07226833701133728
16,0.04372050135633817,0.08896520733833313
17,0.051404482201106994,0.14307533204555511
18,0.039738671826746536,0.0458986759185791
19,0.05275534162772637,0.03676844760775566
20,0.04516053738474261,0.07266116142272949
21,0.042629689434725865,0.03849498927593231
22,0.04430452015652668,0.25442707538604736
23,0.043217638726620114,0.04819691553711891
24,0.04279165013748057,0.13073846697807312
25,0.03795233802577736,0.050156086683273315
26,0.03425849801586831,0.06333684921264648
27,0.04082027359810822,0.0760311409831047
28,0.036111303395135144,0.03878801316022873
29,0.04169831359211136,0.19064125418663025
30,0.04587699708474033,0.06895802170038223
31,0.03695023742814859,0.10246534645557404
32,0.0354041513055563,0.1220657154917717
33,0.03964863662772319,0.08642322570085526
