epoch,train_loss,test_loss,learning_rate
0,0.23539872573432968,0.31503716111183167,0.001
1,0.06691228981842012,0.12373168766498566,0.001
2,0.05784650990629897,0.31809505820274353,0.001
3,0.05495749908846383,0.2951311469078064,0.001
4,0.043648462779089514,0.08263793587684631,0.001
5,0.04782345529426547,0.066229447722435,0.001
6,0.04331576674446171,0.05523530766367912,0.001
7,0.04837494947965823,0.12990780174732208,0.001
8,0.038442283430520224,0.1017121970653534,0.001
9,0.041840241381935046,0.048475366085767746,0.001
10,0.04073767154021006,0.08320246636867523,0.001
11,0.03813948124354961,0.051976919174194336,0.001
12,0.041220376541947615,0.06354270130395889,0.001
13,0.037362229955547,0.04697401076555252,0.001
14,0.03791202593813924,0.05558951199054718,0.001
15,0.03773207337979008,0.03964772820472717,0.001
16,0.035941557356101626,0.07478580623865128,0.001
17,0.03234639911748031,0.041537173092365265,0.001
18,0.04067101817139808,0.05832808464765549,0.001
19,0.032107403830570334,0.05604053661227226,0.001
20,0.0372993512188687,0.0499625988304615,0.001
21,0.038552868435634116,0.04634098336100578,0.001
22,0.03743167084586971,0.06501586735248566,0.001
23,0.03647874617109112,0.05642031878232956,0.001
24,0.0331160285528384,0.03561963513493538,0.001
25,0.0343778378640612,0.044031210243701935,0.001
26,0.029955282989962428,0.03676741570234299,0.001
27,0.031729656874256974,0.04983511194586754,0.001
28,0.029419683942607806,0.04875883460044861,0.001
29,0.03152425021079241,0.06334485858678818,0.001
30,0.03430046862466078,0.07322484999895096,0.001
31,0.032630484843370965,0.06175822764635086,0.001
32,0.032878270947977024,0.056916121393442154,0.001
33,0.035530251542142795,0.04002278670668602,0.001
34,0.037017489217367826,0.05158738046884537,0.001
35,0.034108490190085244,0.04476184397935867,0.0005
36,0.030993612793584664,0.042477719485759735,0.0005
37,0.03508384368729358,0.03723076730966568,0.0005
38,0.027777807513142332,0.040298301726579666,0.0005
39,0.031105544582447586,0.05893499776721001,0.0005
40,0.032049878683014246,0.047129351645708084,0.0005
41,0.030789098209317994,0.04444605112075806,0.0005
42,0.030186871103211946,0.045811813324689865,0.0005
43,0.031093356345652367,0.042026814073324203,0.0005
44,0.02992823741891805,0.04424164816737175,0.0005
